Date,Description,Amount,Transaction Type
2025-01-01,Uber Ride to Office,350.00,Debit
2025-01-02,Chai Point,150.00,Debit
2025-01-03,Salary Credited,85000.00,Credit
2025-01-04,Blinkit Groceries,1250.00,Debit
2025-01-05,Netflix Subscription,649.00,Debit
2025-01-06,Shell Petrol Pump,2500.00,Debit
2025-01-07,PVR Cinema Tickets,800.00,Debit
2025-01-08,Spotify Premium,119.00,Debit
2025-01-09,Zomato Order - Biryani,450.00,Debit
2025-01-10,Amazon India Purchase,1299.00,Debit
2025-01-11,Electricity Bill (Bescom),3200.00,Debit
2025-01-12,Swiggy Instamart,350.00,Debit
2025-01-13,Apollo Pharmacy,650.00,Debit
2025-01-14,Jio Mobile Recharge,749.00,Debit
